03-Jun;;;;;;
;;;;;;
Saldo em conta:;;;;;;
;;;;;;
R$ 9.263,06;;;;;;
;;;;;;
04-Jun;;05-Jun;;08-Jun;;
;;;;;;
D1 R$ -332,40;;D2 R$ -6.107,00;;D3 R$ 0,00;;DN R$ 0,00
;;;;;;
Saldo final:;;;;;;
;;;;;;
R$ 2.823,66;;;;;;
;;;;;;
Período:;;;;;;
Visualização:;;;;;;
Versão Clear;;;;;;
Versão CBLC;;;;;;
Notas;;;;;;
;;;;;;
2020;;;;;;
;;;;;;
Abril;;;;;;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
Seg 6;Sex 3;BMF - TAXA DE REGISTRO 03/04/2020;-19,52;6.855,18;;
Seg 6;Sex 3;BMF - TAXA EMOLUMENTOS 03/04/2020;-9,76;6.845,42;;
Seg 6;Sex 3;IRRF S/ DAY TRADE 03/04/2020;-3,48;6.841,94;;
Seg 6;Sex 3;AJUSTE DAY-TRADE 03/04/2020 822287 WIN ;378;7.219,94;;
Ter 7;Sex 3;NOTA * PREGÃO 03/04/2020;-3.446,04;3.773,90;;
Ter 7;Seg 6;AJUSTE DAY-TRADE 06/04/2020 841657 WIN ;-66;3.707,90;;
Ter 7;Seg 6;BMF - TAXA DE REGISTRO 06/04/2020;-29,44;3.678,46;;
Ter 7;Seg 6;BMF - TAXA EMOLUMENTOS 06/04/2020;-14,72;3.663,74;;
Qua 8;Ter 7;IRRF S/ DAY TRADE 07/04/2020;-3,02;3.660,72;;
Qua 8;Ter 7;AJUSTE DAY-TRADE 07/04/2020 861586 WIN ;329;3.989,72;;
Qua 8;Ter 7;BMF - TAXA DE REGISTRO 07/04/2020;-17,6;3.972,12;;
Qua 8;Ter 7;BMF - TAXA EMOLUMENTOS 07/04/2020;-8,8;3.963,32;;
Qui 9;Ter 7;NOTA * PREGÃO 07/04/2020;3.848,65;7.811,97;;
Qui 9;Qua 8;BMF - TAXA DE REGISTRO 08/04/2020;-1,28;7.810,69;;
Qui 9;Qua 8;BMF - TAXA EMOLUMENTOS 08/04/2020;-0,64;7.810,05;;
Qui 9;Qua 8;IRRF S/ DAY TRADE 08/04/2020;-0,63;7.809,42;;
Qui 9;Qua 8;AJUSTE DAY-TRADE 08/04/2020 883363 WIN ;65;7.874,42;;
Seg 13;Qui 9;BMF - TAXA DE REGISTRO 09/04/2020;-30,4;7.844,02;;
Seg 13;Qui 9;BMF - TAXA EMOLUMENTOS 09/04/2020;-15,2;7.828,82;;
Seg 13;Qui 9;IRRF S/ DAY TRADE 09/04/2020;-2,08;7.826,74;;
Seg 13;Qui 9;AJUSTE DAY-TRADE 09/04/2020 905079 WIN ;254;8.080,74;;
Ter 14;Seg 13;BMF - TAXA DE REGISTRO 13/04/2020;-46,4;8.034,34;;
Ter 14;Seg 13;BMF - TAXA EMOLUMENTOS 13/04/2020;-23,2;8.011,14;;
Ter 14;Seg 13;AJUSTE DAY-TRADE 13/04/2020 926926 WIN ;44;8.055,14;;
Qua 15;Ter 14;BMF - TAXA DE REGISTRO 14/04/2020;-18,24;8.036,90;;
Qua 15;Ter 14;BMF - TAXA EMOLUMENTOS 14/04/2020;-9,12;8.027,78;;
Qua 15;Ter 14;IRRF S/ DAY TRADE 14/04/2020;-0,66;8.027,12;;
Qua 15;Ter 14;AJUSTE DAY-TRADE 14/04/2020 949147 WIN ;94;8.121,12;;
Qui 16;Qua 15;BMF - TAXA DE REGISTRO 15/04/2020;-15,68;8.105,44;;
Qui 16;Qua 15;BMF - TAXA EMOLUMENTOS 15/04/2020;-7,84;8.097,60;;
Qui 16;Qua 15;AJUSTE DAY-TRADE 15/04/2020 971273 WIN ;-267;7.830,60;;
Sex 17;Qua 15;NOTA * PREGÃO 15/04/2020;-4.599,19;3.231,41;;
